cell_id,point_id,frame,x,y,cut
220825-E10_Out,269,7,359.71841176599264,214.67947560548782,False
220825-E10_Out,269,8,358.4476166591048,213.48719829320908,False
220825-E10_Out,269,9,358.3015142902732,212.66866904497147,False
220825-E10_Out,269,10,357.74471332877874,211.49773663282394,False
220825-E10_Out,269,11,356.9130419716239,209.9066509604454,False
220825-E10_Out,270,4,401.0,93.0,True
220825-E10_Out,271,4,304.0,203.0,True
220825-E13_Out,272,3,229.0,313.0,False
220825-E13_Out,272,4,241.7686824798584,323.7483730316162,False
220825-E13_Out,272,5,243.57976746559143,324.51988649368286,False
220825-E13_Out,272,6,244.41639506816864,324.804452508688,False
220825-E13_Out,272,7,245.24266159534454,325.53688207268715,False
220825-E13_Out,272,8,245.80196022987366,325.5051064863801,False
220825-E13_Out,272,9,245.81289713084698,326.18888864666224,False
220825-E13_Out,273,3,168.0,275.0,False
220825-E13_Out,273,4,155.88159942626953,258.31235122680664,False
220825-E13_Out,273,5,152.60188508033752,255.04004621505737,False
220825-E13_Out,273,6,149.5933711528778,251.71370267868042,False
220825-E13_Out,273,7,147.7592247724533,248.7180197238922,False
220825-E13_Out,273,8,147.41482761502266,246.73154878616333,False
220825-E13_Out,274,3,211.0,272.0,False
220825-E13_Out,274,4,195.4733600616455,255.44701957702637,False
220825-E13_Out,274,5,192.5404987335205,253.13787388801575,False
220825-E13_Out,274,6,191.31993567943573,250.63999199867249,False
220825-E13_Out,274,7,189.48213648796082,249.07543456554413,False
220825-E13_Out,274,8,190.07771682739258,249.10215458646417,False
220825-E13_Out,275,3,212.0,334.0,False
220825-E13_Out,275,4,227.28883743286133,349.9549436569214,False
220825-E13_Out,275,5,229.32621550559998,351.74175357818604,False
220825-E13_Out,275,6,230.34164881706238,353.03540992736816,False
220825-E13_Out,275,7,230.68060153722763,352.83081033825874,False
220825-E13_Out,275,8,230.3378962278366,352.0173994600773,False
220825-E13_Out,275,9,230.3275600373745,350.87680676579475,False
220825-E13_Out,276,3,186.0,308.0,False
220825-E13_Out,276,4,166.9538116455078,297.0228462219238,False
220825-E13_Out,276,5,164.28631925582886,295.8120081424713,False
220825-E13_Out,276,6,160.65850114822388,293.92724561691284,False
220825-E13_Out,276,7,158.9867217540741,292.08471941947937,False
220825-E13_Out,276,8,158.48516964912415,289.64317178726196,False
220825-E13_Out,277,4,248.0,246.0,True
220825-E13_Out,278,4,,,False
220825-E13_Out,278,5,,,False
220825-E13_Out,278,6,,,False
220825-E13_Out,278,7,,,False
220825-E13_Out,278,8,,,False
220825-E13_Out,278,9,,,False
220825-E13_Out,278,10,,,False
220825-E13_Out,278,11,,,False
220825-E13_Out,278,12,,,False
220825-E13_Out,279,4,180.0,353.0,True
220830-E6_Out,329,3,347.0,264.0,False
220830-E6_Out,329,4,361.34472370147705,274.574743270874,False
220830-E6_Out,329,5,366.3643617630005,275.0494233071804,False
220830-E6_Out,329,6,367.5534807443619,275.91133829951286,False
220830-E6_Out,330,3,330.0,296.0,False
220830-E6_Out,330,4,345.65567207336426,306.8920736312866,False
220830-E6_Out,330,5,348.2478358745575,308.07815074920654,False
220830-E6_Out,331,3,301.0,321.0,False
220830-E6_Out,331,4,320.61568450927734,331.12242317199707,False
220830-E6_Out,331,5,321.8089727163315,331.7698526978493,False
220830-E6_Out,331,6,322.7228662967682,332.18479427695274,False
220830-E6_Out,331,7,323.185282766819,332.70126846432686,False
220830-E6_Out,331,8,323.1172932833433,332.35856887698174,False
220830-E6_Out,331,9,323.5099043995142,333.2313389480114,False
220830-E6_Out,331,10,323.24505926668644,333.07500049471855,False
220830-E6_Out,332,3,292.0,260.0,False
220830-E6_Out,332,4,277.8776969909668,248.99758529663086,False
220830-E6_Out,332,5,275.1573359966278,247.3437991142273,False
220830-E6_Out,332,6,273.99622869491577,246.6167067885399,False
220830-E6_Out,332,7,272.9139150381088,245.94056421518326,False
220830-E6_Out,332,8,272.062895655632,245.36569792032242,False
220830-E6_Out,332,9,271.23925268650055,244.98875963687897,False
220830-E6_Out,332,10,270.6829112768173,244.55326026678085,False
220830-E6_Out,333,3,342.0,261.0,False
220830-E6_Out,333,4,358.92715644836426,272.4865894317627,False
220830-E6_Out,333,5,362.9620018005371,272.8810442686081,False
220830-E6_Out,334,3,272.0,275.0,False
220830-E6_Out,334,4,254.84071922302246,259.64327335357666,False
